continent,sector,market_cap,probability
South America,Consumer Staples,Nano Cap,0.00014920919128618324
South America,Consumer Staples,Small Cap,0.000596836765144733
South America,Energy,Large Cap,0.0002577249667670438
South America,Energy,Micro Cap,2.7128943870215132e-05
South America,Energy,Mid Cap,0.0001627736632212908
South America,Energy,Nano Cap,4.06934158053227e-05
South America,Energy,Small Cap,0.00017633813515639837
South America,Financials,Large Cap,0.0007324814844958086
South America,Financials,Micro Cap,0.0005561433493394102
South America,Financials,Mid Cap,0.0038251810857003335
South America,Financials,Nano Cap,0.00017633813515639837
South America,Financials,Small Cap,0.0005290144054691951
South America,Health Care,Large Cap,2.7128943870215132e-05
South America,Health Care,Micro Cap,9.495130354575297e-05
South America,Health Care,Mid Cap,0.00010851577548086053
South America,Health Care,Nano Cap,9.495130354575297e-05
South America,Health Care,Small Cap,0.0001220802474159681
South America,Industrials,Large Cap,6.782235967553784e-05
South America,Industrials,Micro Cap,0.0005018854615989799
South America,Industrials,Mid Cap,0.0003662407422479043
South America,Industrials,Nano Cap,0.00031198285450747404
South America,Industrials,Small Cap,0.000596836765144733
South America,Information Technology,Large Cap,1.3564471935107566e-05
South America,Information Technology,Micro Cap,8.13868316106454e-05
South America,Information Technology,Mid Cap,6.782235967553784e-05
South America,Information Technology,Nano Cap,2.7128943870215132e-05
South America,Information Technology,Small Cap,0.00013564471935107567
South America,Materials,Large Cap,0.0006782235967553783
South America,Materials,Micro Cap,0.00018990260709150593
South America,Materials,Mid Cap,0.00042049862998833456
South America,Materials,Nano Cap,0.0003662407422479043
South America,Materials,Small Cap,0.0004747565177287648
South America,Real Estate,Micro Cap,0.0004476275738585497
South America,Real Estate,Mid Cap,4.06934158053227e-05
South America,Real Estate,Nano Cap,0.0006104012370798405
South America,Real Estate,Small Cap,0.00042049862998833456
South America,Utilities,Large Cap,0.00023059602289682862
South America,Utilities,Micro Cap,0.00021703155096172106
South America,Utilities,Mid Cap,0.000813868316106454
South America,Utilities,Nano Cap,5.4257887740430265e-05
South America,Utilities,Small Cap,0.0006917880686904858
